date,TP5Y,TP10Y,TP15Y,TP25Y
1990-03-31,-509.07108120299034,-573.4448217446419,-562.4737514634674,-582.1412087177588
1990-06-30,-508.8560065785037,-573.3073134575942,-561.9618437385327,-574.3772578627338
1990-09-30,-508.91894789177223,-572.2014578032017,-560.0521387138571,-584.386023904248
1990-12-31,-508.7257740316069,-572.8936626434639,-561.3843608605059,-577.4952602270854
1991-03-31,-509.6692868531722,-573.4727547197954,-561.7670018605884,-583.6666697663128
1991-06-30,-509.11904720366704,-573.487627646418,-561.7245337180524,-570.5234922414204
1991-09-30,-509.2901073246038,-573.7852804312682,-562.1917582283115,-570.9642461180832
1991-12-31,-509.1249681415401,-574.1560852609173,-562.9105924396871,-565.2874999766784
1992-03-31,-509.89051882221474,-573.9701402654371,-562.5718452848728,-582.5025845717951
1992-06-30,-509.7002267936094,-573.8155764938773,-562.2319109641247,-578.5115548463691
1992-09-30,-509.6392687633969,-573.8009894223779,-562.1277926820344,-576.2177080794446
1992-12-31,-510.5524463245025,-574.298045116572,-562.3767051352431,-581.543846697405
1993-03-31,-511.53117518241197,-575.1491955635757,-563.2568007729465,-578.7332165306531
1993-06-30,-512.1241780837897,-575.5340081503388,-563.2389747188986,-579.171158672575
1993-09-30,-512.5194070019564,-576.1995621149381,-564.2081284648677,-579.8822480921494
1993-12-31,-512.9964750530913,-576.5668657021138,-564.4636562975961,-580.2770326945679
1994-03-31,-512.0768980665099,-575.7266993333845,-563.9955438959119,-578.2490068422932
1994-06-30,-511.39225793212654,-574.9448136345775,-562.7019658576643,-577.0583359457388
1994-09-30,-510.03568418964386,-573.9656227209066,-562.1548752587643,-576.4521412312322
1994-12-31,-509.74614425068773,-573.8976575036592,-562.2594626131992,-576.0420525240503
1995-03-31,-510.2568842818141,-574.302969480023,-562.3986019474011,-577.1074993499217
1995-06-30,-510.49042293341074,-574.5061414904931,-562.5971753826674,-576.9798176548181
1995-09-30,-510.6125204409038,-574.526139515809,-562.7444884179387,-576.9518298788129
1995-12-31,-511.3052336758299,-575.1793779155822,-563.6140931533437,-577.7625995703776
1996-03-31,-511.2676413900317,-575.1542015210713,-563.7370785077511,-577.71731745679
1996-06-30,-511.42349385408227,-575.2498937700128,-563.8091646385471,-577.8251839336857
1996-09-30,-511.5864060924956,-575.5618337896689,-563.9362120906201,-577.6700972061659
1996-12-31,-512.0447075787307,-575.8848731694892,-564.5093054430139,-577.6458093745287
1997-03-31,-511.89088279953046,-575.9078479395841,-564.1338520050771,-577.8762524762999
1997-06-30,-512.1010768480072,-576.0481653799525,-564.4216904409848,-577.8667589434444
1997-09-30,-512.0068775606161,-576.2491003226738,-564.7491371597556,-578.7311861927241
1997-12-31,-512.076444983713,-576.4124547031834,-564.9803208754315,-579.1591114560412
1998-03-31,-512.2311516045512,-576.7855437213234,-565.4966501307499,-579.70378749851
1998-06-30,-512.3605134496779,-576.9096791455446,-565.6122266150189,-579.8965413340145
1998-09-30,-512.9628742716765,-577.69604419952,-566.3795512023187,-580.0093216057917
1998-12-31,-513.0504296560073,-577.7224436122574,-566.5620921139916,-579.8828049091677
1999-03-31,-513.0662101680033,-577.4499952485648,-566.349814026181,-579.6578892125852
1999-06-30,-512.5957023425451,-577.0031533708064,-565.7882603515152,-579.118613392208
1999-09-30,-512.1276197805744,-576.4185073760519,-565.3317516920634,-578.3376272378753
1999-12-31,-511.9424520143656,-576.2208960958478,-565.1478792836137,-578.634898752059
2000-03-31,-511.98132607292496,-576.4334811666682,-565.3278691034867,-579.4707578868986
2000-06-30,-511.9550840442672,-576.4772063249111,-565.3167015386323,-579.5432349315569
2000-09-30,-511.9814113269053,-576.5237546226998,-565.3255157712383,-579.4901387295472
2000-12-31,-512.4282097295916,-576.7828274629071,-565.6735524930332,-579.5881623641108
2001-03-31,-512.5513249797493,-576.9868406564105,-565.3158269321907,-580.3571033404396
2001-06-30,-512.2669817850734,-576.5619876929538,-564.9189092929864,-579.9527716620174
2001-09-30,-512.5362486108321,-576.7506298278105,-565.113942177845,-580.0738471439954
2001-12-31,-512.1985199834852,-576.638162150412,-565.165924272066,-580.2532982281672
2002-03-31,-511.99416825323175,-576.4860895416762,-565.0037328033469,-580.1058640129386
2002-06-30,-512.2614205451821,-576.7334389924391,-565.3077258188112,-580.3718029547952
2002-09-30,-512.9473622668144,-577.2598330868383,-565.8529519382868,-580.7239032970471
2002-12-31,-513.0757790323427,-577.3443958532488,-565.9089093766034,-580.8630734673025
2003-03-31,-513.1409198207845,-577.4163110482789,-566.0621567390135,-580.8319205040989
2003-06-30,-513.2850074073809,-577.6665214641188,-566.3288800513739,-581.0177386583615
2003-09-30,-513.1414076116796,-577.4743855800375,-565.891480108567,-580.8045024329596
