baseline_date;value
01/05/1998;57.8
01/10/1998;56.8
01/05/1999;59.4
22/09/1999;55.4
12/05/2000;52.6
19/09/2000;52.5
01/05/2001;49
31/10/2001;51.8
18/04/2002;51.6
25/09/2002;53.3
09/04/2003;54.4
13/09/2003;59
14/04/2004;61
29/09/2004;62.2
07/04/2005;60.3
14/09/2005;65.8
13/04/2006;63.8
14/09/2006;61.5
11/04/2007;59.2
09/10/2007;60.5
03/04/2008;62.6
02/10/2008;66.8
16/04/2009;89.7
01/10/2009;92.6
14/04/2010;94.8
06/10/2010;88.4
11/04/2011;86.7
21/09/2011;87.7
17/04/2012;84.6
09/10/2012;86.5
16/04/2013;88.1
07/10/2013;88.8
03/04/2014;87.7
07/10/2014;95.9
07/04/2015;92.1
28/09/2015;93.1
12/04/2016;92.6
04/10/2016;93.8
18/04/2017;90.4
10/10/2017;91.2
10/04/2018;89
03/10/2018;93.9
02/04/2019;96.2
15/10/2019;97.8
08/10/2020;123.3
23/03/2021;116.9
12/10/2021;116.9
19/04/2022;114
11/10/2022;118.5
11/04/2023;115
10/10/2023;110.8
16/04/2024;115.2
22/10/2024;124.1
22/04/2025;128.4
14/10/2025;129.4
