baseline_date;value
01/05/1998;-1.1
01/10/1998;-0.6
01/05/1999;-1
22/09/1999;0.1
31/10/2001;0.6
25/09/2002;-1.4
09/04/2003;0.5
13/09/2003;-0.2
14/04/2004;-0.5
29/09/2004;-1
07/04/2005;-1
14/09/2005;-1.2
13/04/2006;-1.4
14/09/2006;-1.7
11/04/2007;-1.1
09/10/2007;-1.3
03/04/2008;-1.2
02/10/2008;-1.5
16/04/2009;-4.6
01/10/2009;-4.7
14/04/2010;-4.1
06/10/2010;-2.2
11/04/2011;-1.5
21/09/2011;-1.4
17/04/2012;-0.5
09/10/2012;0
16/04/2013;-0.6
07/10/2013;-0.4
03/04/2014;0
07/10/2014;-1
07/04/2015;-0.4
28/09/2015;-0.7
12/04/2016;-0.4
04/10/2016;-1
18/04/2017;-0.6
10/10/2017;-0.8
10/04/2018;-0.3
03/10/2018;-2.8
02/04/2019;-2.6
15/10/2019;-2.6
08/10/2020;-4.7
23/03/2021;-3.5
12/10/2021;-3.4
19/04/2022;-3.3
11/10/2022;-5
11/04/2023;-4
10/10/2023;-3.6
16/04/2024;-3.9
22/10/2024;-5.9
22/04/2025;-6.1
14/10/2025;-6.3
