baseline_date;value
01/05/1998;59.7
01/10/1998;58
01/05/1999;55.5
22/09/1999;53.3
12/05/2000;50.2
19/09/2000;53.1
01/05/2001;55.3
31/10/2001;53.6
18/04/2002;56.6
25/09/2002;57.9
09/04/2003;60.9
13/09/2003;64.6
14/04/2004;66.1
29/09/2004;67
07/04/2005;70.3
14/09/2005;74.7
13/04/2006;67.9
14/09/2006;69.2
11/04/2007;64.9
09/10/2007;59.4
03/04/2008;59.9
02/10/2008;73.5
16/04/2009;91
01/10/2009;89.3
14/04/2010;81.5
06/10/2010;75.6
11/04/2011;71.9
21/09/2011;75
17/04/2012;71.1
09/10/2012;73.7
16/04/2013;68.7
07/10/2013;67.7
03/04/2014;58.7
07/10/2014;60.5
07/04/2015;56.9
28/09/2015;57.9
12/04/2016;56
04/10/2016;56.7
18/04/2017;50.9
10/10/2017;50.1
10/04/2018;42.4
03/10/2018;44.6
02/04/2019;43.7
15/10/2019;45.6
08/10/2020;59.5
23/03/2021;57.1
12/10/2021;60.9
19/04/2022;58.7
11/10/2022;59.7
11/04/2023;59.6
10/10/2023;57.5
16/04/2024;57.7
22/10/2024;57.8
22/04/2025;74.8
14/10/2025;73.6
