baseline_date;value
01/05/1998;-1.1
01/10/1998;-1
01/05/1999;-0.4
22/09/1999;-0.3
12/05/2000;-0.4
19/09/2000;-1.2
01/05/2001;-1.3
18/04/2002;0.2
25/09/2002;-0.6
09/04/2003;-0.4
13/09/2003;-1.2
14/04/2004;-1.8
29/09/2004;-1.6
07/04/2005;-2
14/09/2005;-3.2
13/04/2006;-2
14/09/2006;-2
11/04/2007;-1.3
09/10/2007;-0.5
16/04/2009;-1.4
01/10/2009;0
14/04/2010;-1.7
06/10/2010;-1.4
11/04/2011;0
21/09/2011;0.4
17/04/2012;-0.2
09/10/2012;0
16/04/2013;0.1
07/10/2013;0.3
03/04/2014;0.4
07/10/2014;0.4
07/04/2015;0.6
28/09/2015;1
12/04/2016;0.7
04/10/2016;0.6
18/04/2017;1.1
10/10/2017;1.1
10/04/2018;1.4
03/10/2018;0.8
02/04/2019;0.7
15/10/2019;1
08/10/2020;1
23/03/2021;0.6
12/10/2021;0.5
19/04/2022;0.4
11/10/2022;-0.5
11/04/2023;-0.5
10/10/2023;-0.5
16/04/2024;-0.5
22/10/2024;-0.5
22/04/2025;-4.4
14/10/2025;-4
