date,TP5Y,TP10Y,TP15Y,TP25Y
1994-03-31,74441.38905628701,781953329498.0507,2.012964539652205e+19,1.8013330908664508e+34
1994-06-30,69824.06035552018,781938960404.982,2.01296453369915e+19,1.8013330908664508e+34
1994-09-30,69518.54927138152,781938004559.8156,2.0129645333031465e+19,1.8013330908664508e+34
1994-12-31,69927.11258222404,781939272693.9397,2.0129645338285294e+19,1.8013330908664508e+34
1995-03-31,69806.52653161615,781938902298.1976,2.012964533675076e+19,1.8013330908664508e+34
1995-06-30,70215.93082904222,781940177007.3384,2.0129645342031827e+19,1.8013330908664508e+34
1995-09-30,71389.66007384546,781943833789.4133,2.0129645357181727e+19,1.8013330908664508e+34
1995-12-31,73887.3394502081,781951608059.9315,2.0129645389390213e+19,1.8013330908664508e+34
1996-03-31,71200.65874817932,781943246502.9875,2.012964535474863e+19,1.8013330908664508e+34
1996-06-30,72150.62299544571,781946205057.616,2.01296453670058e+19,1.8013330908664508e+34
1996-09-30,72843.42832994994,781948361908.3917,2.0129645375941538e+19,1.8013330908664508e+34
1996-12-31,73649.86146456184,781950865764.884,2.0129645386314908e+19,1.8013330908664508e+34
1997-03-31,73218.53257498323,781949523356.7646,2.0129645380753367e+19,1.8013330908664508e+34
1997-06-30,75183.69800770475,781955636110.8483,2.012964540607825e+19,1.8013330908664508e+34
1997-09-30,76896.31956466685,781960967628.2056,2.012964542816651e+19,1.801333090866451e+34
1997-12-31,77783.13211414567,781963724482.9291,2.012964543958804e+19,1.801333090866451e+34
1998-03-31,79392.35519682828,781968731286.749,2.012964546033102e+19,1.801333090866451e+34
1998-06-30,79671.63887146252,781969599111.5837,2.0129645463926383e+19,1.801333090866451e+34
1998-09-30,83214.56438861633,781980629036.5186,2.0129645509622907e+19,1.801333090866451e+34
1998-12-31,85027.52513820773,781986275373.7329,2.0129645533015454e+19,1.8013330908664515e+34
1999-03-31,84443.1583863015,781984457336.6887,2.01296455254834e+19,1.8013330908664515e+34
