baseline_date;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/04/2003;32.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2003;34.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2004;35.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2004;36.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2005;36.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/2005;37.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2006;38.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/12/2006;38.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2007;38.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2007;38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/03/2008;39.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/11/2008;52.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2009;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2009;71.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2010;69.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/06/2010;69.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/11/2010;69.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2011;70.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/11/2011;78.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2012;76.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/2012;79.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/2013;85.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/12/2013;79.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/03/2014;78.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2014;78.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2015;77.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/07/2015;74.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2015;77.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2016;79.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/11/2016;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2017;86.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/11/2017;83.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/2018;82.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2018;75.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2019;74.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2020;75.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2020;109.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2021;109.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2021;94.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2022;91.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/11/2022;101.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/2023;99.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/11/2023;95.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/2024;95.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/10/2024;97.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/03/2025;96.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2025;97.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
